id,s_serialno,s_status,s_model,s_devicetype,t_date,s_location,s_costcentre,s_department
200700001,CNV7070083,Active,T5520,Thin Client,2007-06-30,Torque Honda North Lakes,821 Torque Honda,Service
200700002,CNV707008P,Active,T5520,Thin Client,2007-06-30,Torque Honda North Lakes,821 Torque Honda,Service
200700004,XSF7305080,Active,FS2000,Printer,2007-06-30,Torque Honda North Lakes,821 Torque Honda,Parts
200700006,0705-B085328/003,Active,D945PSN,PC,2007-05-01,Torque Honda North Lakes,821 Torque Honda,Service
200700008,XSH6Y00623,Active,FS4000,Printer,2007-06-30,Torque Honda North Lakes,821 Torque Honda,Service
200700010,0706-B085758/002,Active,D945PSN,PC,2007-06-01,Torque Honda North Lakes,821 Torque Honda,Parts
200700012,XSD6702000,Active,FS1118,Printer,2007-06-30,Torque Honda North Lakes,821 Torque Honda,Showroom
200700014,AKA3062015,Active,KM2550,Printer,2007-06-30,Torque Honda North Lakes,821 Torque Honda,Showroom
200700015,XSH6800431,Active,FS4000,Printer,2007-06-30,Torque Honda North Lakes,821 Torque Honda,Showroom
200700019,L3-BZ643 07/03,Active,R60 9456-DRM,Notebook,2007-03-01,Torque Honda North Lakes,821 Torque Honda,Showroom
200700020,0705-B085328/001,Active,D945PSN,PC,2007-05-01,Torque Honda North Lakes,821 Torque Honda,Showroom
200700021,0608-B081845,Active,D945PSN,PC,2006-08-01,Torque Toyota North Lakes,809 Torque Toyota,Parts
200700023,0611-B083303/007,Active,D945PSN,PC,2006-11-01,Torque Toyota North Lakes,809 Torque Toyota,Parts
200700026,AZU5Z09071,Active,FS1920,Printer,2007-06-30,Torque Toyota North Lakes,809 Torque Toyota,Parts
200700027,0707-B086473/002,Active,D945PSN,PC,2007-07-01,Torque Toyota North Lakes,809 Torque Toyota,Parts
200700029,L3-F0732 07/12,Active,R61 8932-A19,Notebook,2007-12-01,Torque Ford North Lakes,820 Torque Ford,Showroom
200700030,XLN7874955,Active,FS3900,Printer,2007-06-30,Torque Ford North Lakes,820 Torque Ford,Showroom
200700031,XSH6800322,Active,FS4000,Printer,2007-06-30,Torque Ford North Lakes,820 Torque Ford,Warranty
