id,s_serialno,s_status,s_model,s_devicetype,t_date,s_location,s_costcentre,s_department,id,s_description,i_desctype,i_asset
20100070,5A112195H,Inactive,PTSE1A-00K005,Notebook,2010-07-31,IT Pinkenba,IT,IT,94324582,2013-02-27,13,20100070
20120620,B104000/010,Inactive,Intel DH77EB,PC,2012-11-29,Metro Ford Fortitude Valley,808 Metro,Sales,94324422,2013-02-15,13,20120620
20120183,B102769/010,Inactive,Intel DH67,PC,2012-05-22,IT Pinkenba,IT,IT,94324222,2013-02-18,13,20120183
20110470,7B120664H,Inactive,PT525A-003019,Notebook,2011-09-29,IT Pinkenba,IT,IT,94324078,2013-01-10,13,20110470
20110162,6A063041H,Inactive,PTSE1A-00K005,Notebook,2011-03-24,Unassigned,IT,Unknown,94323913,2013-02-27,13,20110162
20110015,B098851/002,Inactive,Intel DH55,PC,2011-01-06,Unassigned,IT,Unknown,94323841,2013-02-14,13,20110015
20100292,B098598/010,Inactive,Intel DH55,PC,2010-11-26,Metro Ford Fortitude Valley,808 Metro,Showroom,94323821,2013-02-07,13,20100292
200800993,4A133049H,Inactive,PTSE1A-00K005,Notebook,2010-06-21,Bridge Toyota Palmerston,814 Bridge Toyota Darwin,Sales,94323727,2013-02-23,13,200800993
200800971,2A135093H,Inactive,PTSE1A-00K005,Notebook,2010-06-07,No Location,IT,Unknown,94323721,2013-01-25,13,200800971
200800720,79020719H,Inactive,PTSB0A-04L001,Notebook,2010-02-11,IT Pinkenba,IT,IT,94323694,2013-02-27,13,200800720
200800716,79020719H,Disposed,PTSB0A-04L001,Notebook,2010-02-11,Unassigned,IT,Unknown,94323690,2013-02-27,13,200800716
200800674,79043602H,Disposed,PTSB0A-04L001,Notebook,2009-12-04,Unassigned,IT,Unknown,94323686,2013-01-21,13,200800674
200800653,69028828H,Disposed,PTSB0A-020001,Notebook,2009-11-12,Unassigned,IT,Unknown,94323678,2013-02-19,13,200800653
