id,s_serialno,s_status,s_model,s_devicetype,t_date,s_location,s_costcentre,s_department,id,s_description,i_desctype,i_asset
20120220,B103128/001,Active,Intel DH77EB,PC,2012-06-22,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Discount Auto Parts,94324583,2013-02-26,13,20120220
20120662,B104104/007,Active,Intel DH77EB,PC,2012-12-21,AUS Curraminidi,827 Austral S-coast,Sales,94324576,2013-02-27,13,20120662
20120647,7C032877H,Active,PT530A-00J001,Notebook,2012-12-20,Austral PAG Fortitude Valley,806 Austral PAG,Service,94324575,2013-02-22,13,20120647
20120487,7B153353H,Active,PT525A-00801901,Notebook,2012-10-30,Bridge Toyota Palmerston,814 Bridge Toyota Darwin,Showroom,94324574,2013-02-25,13,20120487
20120353,7B154918H,Active,PT525A-00801901,Notebook,2012-09-20,Eagers Kia Kedron,803 Eagers Misubishi&Kia,Sales,94324573,2013-02-27,13,20120353
20110573,B101786/004,Active,Intel DH67,PC,2011-12-07,BMA Pinkenba,810 Brisbane Motor Auction,Sales,94324572,2013-02-22,13,20110573
20120617,B104000/007,Active,Intel DH77EB,PC,2012-11-29,SSV/SSR Buranda,806 Austral PAG,Service,94324543,2013-02-27,13,20120617
20110536,8B121088H,Active,PT525A-003019,Notebook,2011-10-31,Southside Toyota Woolloongabba,801 Southside Toyota,Sales,94324542,2013-02-20,13,20110536
20110433,B101026/003,Active,Intel DH67,PC,2011-09-09,Caloundra City Holden,837 Caloundra City Autos,Service,94324541,2013-02-27,13,20110433
20110218,B099963/001,Active,Intel DH55,PC,2011-05-04,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Admin,94324540,2013-02-20,13,20110218
20100110,5A111740H,Active,PTSE1A-00K005,Notebook,2010-08-26,Austral VW Newstead,807 Austral Honda-VW,Showroom,94324539,2013-02-20,13,20100110
20130021,7c032832h,Active,PT530A-00J001,Notebook,1970-01-01,Caloundra City Holden,837 Caloundra City Autos,Service,94324538,2013-02-21,13,20130021
20130022,7c032844h,Active,PT530A-00J001,Notebook,1970-01-01,Caloundra City Holden,837 Caloundra City Autos,Service,94324537,2013-02-18,13,20130022
20120664,B104104/009,Active,Intel DH77EB,PC,2012-12-21,Metro Ford Fortitude Valley,808 Metro,Sales,94324511,2013-02-27,13,20120664
20120663,B104104/008,Active,Intel DH77EB,PC,2012-12-21,Eagers Mitsubishi Newstead,803 Eagers Misubishi&Kia,Admin,94324510,2013-02-27,13,20120663
20120640,B104107/005,Active,Intel DH77EB,PC,2012-12-12,Bridge Toyota Palmerston,814 Bridge Toyota Darwin,Parts,94324509,2013-02-27,13,20120640
20120614,B104000/004,Active,Intel DH77EB,PC,2012-11-29,Torque Ford Admin,820 Torque Ford,Admin,94324508,2013-02-27,13,20120614
20120438,B103765/008,Active,Intel DH77EB,PC,2012-10-09,Torque Honda North Lakes,821 Torque Honda,Sales,94324507,2013-02-27,13,20120438
20110431,B101026/001,Active,Intel DH67,PC,2011-09-09,Torque Ford Strathpine,820 Torque Ford,Parts,94324506,2013-02-27,13,20110431
20110254,5B090651H,Active,PT525A-003019,Notebook,2011-06-16,HVF Berrimah,815 AP Motor Group,Sales,94324505,2013-02-27,13,20110254
