id,s_serialno,s_status,s_model,s_devicetype,t_date,s_location,s_costcentre,s_department,NA,NA,13,NA
200700115,0705-B085625/003,Active,D945PSN,PC,2007-05-01,Torque Ford Strathpine,820 Torque Ford,Service,NA,NA,13,NA
200700121,0711-B087963/001,Active,D945PSN,PC,2007-11-01,Torque Ford Strathpine,820 Torque Ford,Showroom,NA,NA,13,NA
200700280,0707-B086470/013,Active,D945PSN,PC,2007-07-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Showroom,NA,NA,13,NA
200700290,0707-B086470/004,Active,D945PSN,PC,2007-07-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Showroom,NA,NA,13,NA
200700298,0604-B080403/003,Active,D945PSN,PC,2006-04-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Admin,NA,NA,13,NA
200700314,0608-B081984/005,Active,D945PSN,PC,2006-08-01,Bridge Toyota Palmerston,814 Bridge Toyota Darwin,Parts,NA,NA,13,NA
200700357,0706-B085731/001,Active,D945PSN,PC,2007-06-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Parts,NA,NA,13,NA
200700366,0710-B087495/001,Active,D945PSN,PC,2007-10-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Service,NA,NA,13,NA
200700371,0707-B086470/015,Active,D945PSN,PC,2007-07-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Discount Auto Parts,NA,NA,13,NA
200700375,0707-B086470/018,Active,D945PSN,PC,2007-07-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Showroom,NA,NA,13,NA
200700455,L3-D7102 07/11,Active,8932-A19,Notebook,2007-11-01,Southside Toyota Mt Gravatt,801 Southside Toyota,Service,NA,NA,13,NA
200700564,0705-B085625/001,Active,D945PSN,PC,2007-05-01,Southside Ford Woolloongabba,808 Metro,Parts,NA,NA,13,NA
200700567,0705-B085484/001,Active,D945PSN,PC,2007-05-01,Southside Ford Woolloongabba,808 Metro,Parts,NA,NA,13,NA
200700572,0604-B080302/003,Active,D945PSN,PC,2006-04-01,Southside Ford Woolloongabba,808 Metro,Service,NA,NA,13,NA
200700574,0602-B079321/001,Active,D945PSN,PC,2006-02-01,Southside Ford Woolloongabba,808 Metro,Service,NA,NA,13,NA
200700578,0711-B087721/003,Active,D945PSN,PC,2007-11-01,Southside Ford Woolloongabba,808 Metro,Service,NA,NA,13,NA
200700601,0703-B084816/002,Active,D945PSN,PC,2007-03-01,Southside Toyota Woolloongabba,801 Southside Toyota,Service,NA,NA,13,NA
200700612,0707-B086450/004,Active,D945PSN,PC,2007-07-01,Southside Toyota Woolloongabba,801 Southside Toyota,Service,NA,NA,13,NA
200700613,0707-B086450/003,Active,D945PSN,PC,2007-07-01,Southside Toyota Woolloongabba,801 Southside Toyota,Service,NA,NA,13,NA
200700615,0707-B086450/001,Active,D945PSN,PC,2007-07-01,Southside Toyota Woolloongabba,801 Southside Toyota,Service,NA,NA,13,NA
200700682,L3-ATBH1 06/02,Active,1858-A17,Notebook,2006-02-01,Eagers Holden Newstead,836 Eagers Holden,Admin,NA,NA,13,NA
200700772,0707-B086445/002,Active,D945PSN,PC,2007-07-01,Austral PAG Fortitude Valley,806 Austral PAG,Showroom,NA,NA,13,NA
200700919,L3-E6885 07/12,Active,8932-A19,Notebook,2007-12-01,Unassigned,IT,Showroom,NA,NA,13,NA
200700986,0708-B086615/001,Active,D945PSN,PC,2007-08-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200700987,0711-B088030/001,Active,D945PSN,PC,2007-11-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200700988,0708-B086615/002,Active,D945PSN,PC,2007-08-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200700989,0708-B086582/001,Active,D945PSN,PC,2007-08-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200700993,0708-B086615/003,Active,D945PSN,PC,2007-08-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
200701036,0802-B088935/004,Active,D945PSN,PC,2008-02-01,Austral VW Newstead,807 Austral Honda-VW,Parts,NA,NA,13,NA
200701039,0606-B081279/001,Active,D945PSN,PC,2006-06-01,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200701040,0702-B084296/003,Active,D945PSN,PC,2007-02-01,Austral VW Newstead,807 Austral Honda-VW,Service,NA,NA,13,NA
200701071,0612-B083563/001,Active,D945PSN,PC,2006-12-01,Eagers Mitsubishi Newstead,803 Eagers Misubishi&Kia,Admin,NA,NA,13,NA
200701079,0608-B081817/002,Active,D945PSN,PC,2006-08-01,SSV/SSR Buranda,806 Austral PAG,Service,NA,NA,13,NA
200701089,0801-B088339/001,Active,D945PSN,PC,2008-01-01,Eagers Holden Newstead,836 Eagers Holden,Service,NA,NA,13,NA
200701101,0707-B086446/001,Active,D945PSN,PC,2007-07-01,Austral Motors Newstead,807 Austral Honda-VW,Parts,NA,NA,13,NA
200701117,0704-B084977/001,Active,D945PSN,PC,2007-04-01,Eagers Holden Newstead,836 Eagers Holden,Parts,NA,NA,13,NA
200701189,0606-B081022/012,Active,D945PSN,PC,2006-06-01,BMA Pinkenba,810 Brisbane Motor Auction,Sales,NA,NA,13,NA
