s_location	count(distinct id)
13zoos Woolloongabba	7
AUS Bokarina	15
AUS Curraminidi	10
Austral Honda Newstead	39
Austral Motors Newstead	20
Austral PAG Fortitude Valley	54
Austral VW Newstead	66
BMA Pinkenba	37
Bridge Toyota Darwin	89
Bridge Toyota Palmerston	16
CAG Parts Eagle Farm	7
CAG Valley	5
Caloundra City Holden	63
Caloundra City Honda	13
Caloundra City Mitsubishi	12
Caloundra City Suzuki	1
City Peugeot Fortitude Valley	31
Corporate Office Fortitude Valley	45
Corporate Office Newstead	1
Corporate Office Pinkenba	3
Eagers Holden admin	1
Eagers Holden Newstead	86
Eagers Holden Townsville	17
Eagers Holden Windsor	73
Eagers Kia Kedron	25
Eagers Kia Service Kedron	7
Eagers Mazda Newstead	40
Eagers Mitsubishi Newstead	41
Eagers Newstead	4
Gympie Road Wholesale Cars	4
HVF Berrimah	40
IT Bokarina	1
IT Brendale	4
IT Brisbane	3
IT Buranda	3
IT Darwin	3
IT Eagle Farm	5
IT Fortitude Valley	8
IT Kedron	1
IT Mt Gravatt	2
IT Newstead	12
IT North Lakes	4
IT Pinkenba	4
IT Toowong	2
IT Windsor	3
IT Woolloongabba	15
James Unassigned	10
Metro Ford Eagle Farm	3
Metro Ford Fortitude Valley	103
Metro Maroochydore	1
Metro Parts Eagle Farm	43
Metro Toowoomba Toowoomba	7
PAG Fortitude Valley	23
Panel Shop Brendale	6
Porsche Centre Brisbane Newstead	43
Predelivery Pinkenba	11
Priority Trade Centre Pinkenba	2
Southside Ford Woolloongabba	28
Southside Honda Buranda	59
Southside Toyota Mt Gravatt	56
Southside Toyota Woolloongabba	94
SSV/SSR Buranda	11
SSV/SSR Mt Gravatt	1
Subaru City Newstead	39
Subaru Sumner Park	3
Subaru Toowong	32
Surfers City Holden	1
Torque Customer Relations	8
Torque Ford Admin	10
Torque Ford North Lakes	44
Torque Ford Strathpine	46
Torque Honda North Lakes	28
Torque Subaru Brendale	11
Torque Toyota Admin	8
Torque Toyota Brendale	57
Torque Toyota North Lakes	51
Torque Toyota Pre-delivery	11
Unassigned	1
