Printer Report [Thu Nov  1 13:17:13 EST 2012]
(~/src/pmon/pmon.sh)
c/- Michael Spence

Asset No, Assumed Model, IP Address, Reported Pages, Reported Model, Serial No.
200700004, FS2000, 10.25.7.155,  91549,  FS-2000D,  "XSF7305080"
200700008, FS4000, 10.25.7.154,  197968,  FS-4000DN,  "XSH6Y00623"
200700014, KM2550, 10.25.7.152,  74738,  KM-2550,  "AKA3062015"
200700014, KM2550, 10.25.7.153, , , 
200700015, FS4000, 10.25.7.151,  116814,  FS-4000DN,  "XSH6800431"
200700030, FS3900, 10.25.2.152,  225398,  FS-3900DN,  "XLN7874955"
200700031, FS4000, 10.25.2.155,  138042,  FS-4000DN,  "XSH6800322"
200700048, FS4000, 10.25.2.151,  342826,  FS-4000DN,  "XSH6Y00570"
200700052, FS4000, 10.25.2.154,  84443,  FS-4000DN,  "XSH6Y00615"
200700135, FS2000, 10.18.2.159,  16700,  FS-2000D,  "XSF6602148"
200700138, FS4000, 10.18.2.158,  131765,  FS-4000DN,  "XSH6Y00569"
200700152, KM4035, 10.18.2.152,  1459,  FS-4000DN,  "XSH8901153"
200700170, KM-C2630, 10.36.4.152, , , 
200700205, FS1920, 10.36.4.156,  35419,  FS-1920,  "AZU5Y08313"
200700223, FS4000, 10.36.2.158,  93041,  FS-4000DN,  "XSH6Z00635"
200700229, FS4000, 10.35.18.150,  112762,  FS-4000DN,  "XSH6600233"
200700230, FS4000, 10.35.18.151,  129794,  FS-4000DN,  "XSH6600240"
200700249, FS1900, 10.50.1.109,  203743,  FS-1920,  "AZU5Z09064"
200700293, FS1118, 10.50.1.107,  7863,  FS-1128MFP,  "QRE1603611"
200700293, FS1118, 10.50.1.108,  98110,  FS-1128MFP,  "QRE1603506"
200700330, FS2000, 10.52.1.105,  95397,  FS-2000D, enterprises.1347.43.5.1.1.28.1 = ""
200700354, FS3830, 10.50.1.110,  149197,  FS-3830N,  "AZV5605123"
200700398, FS3900, 10.13.3.150,  121702,  FS-3900DN,  "XSG7404434"
200700417, KM-2550, 10.16.8.159,  7315,  FS-C8020MFP,  "Q6Z1700706"
200700439, KM-5050, 10.5.4.150,  426967,  KM-5050,  "PZE7900298"
200700450, FS1920, 10.5.4.155,  307930,  FS-1920,  "AZU5607370"
200700472, FS4000, 10.2.7.156,  148845,  FS-4000DN,  "XSH6Y00608"
200700498, FS3900, 10.2.7.159,  90932,  FS-3900DN,  "XSG7X05626"
200700499, C5015N, 10.2.7.158,  30061,  FS-C5015N,  "ASP7901205"
200700566, FS3900, 10.34.2.164,  67227,  FS-3900DN,  "XSG7X05612"
200700573, FS3900, 10.34.2.163,  30828,  FS-3900DN,  "XSG6801842"
200700585, FS4000, 10.34.2.166,  158247,  FS-4000DN,  "XSH7900751"
200700595, FS3900, 10.34.4.166,  400004,  FS-3900DN,  "XSG6902735"
200700607, FS4000, 10.10.9.159,  274400,  FS-4000DN,  "XSH6600248"
200700624, FS4000, 10.34.4.152,  213944,  FS-4000DN,  "XSH8101003"
200700628, FS-2000D, 10.34.4.162,  154744,  FS-2000D,  "XSF7X09116"
200700641, FS4000, 10.34.4.175,  75009,  FS-4000DN,  "XSH6300033"
200700642, FS4000, 10.34.4.176,  413174,  FS-4000DN,  "XSH6600224"
200700663, FS4000, 10.10.7.154,  393863,  FS-4000DN,  "XSH8100955"
200700678, FS3900, 10.17.11.153,  52778,  FS-3900DN, enterprises.1347.43.5.1.1.28.1 = ""
200700748, FS4000, 10.16.10.158,  330898,  FS-4000DN,  "XSH6300076"
200700749, FS4000, 10.16.10.159,  160890,  FS-4000DN,  "XSH6600218"
200700759, FS4000, 10.16.12.152,  864282,  FS-4000DN,  "XSH6600213"
200700785, FS3830, 10.16.100.150,  198396,  FS-3830N,  "AZV5103882"
200700817, FS4000, 10.10.2.157,  135158,  FS-4000DN,  "XSH7900727"
200700848, FS3830, 10.10.2.160,  192812,  FS-3830N,  "AZV4200097"
200700852, FS4000, 10.10.16.161,  173653,  FS-4000DN,  "XSH6900521"
200700863, FS4000, 10.10.2.153,  11228,  FS-4000DN,  "XSH7900707"
200700865, FS9100, 10.10.3.171,  20039,  TASKalfa 3050ci,  "N2R2501064"
200700866, FS4000, 10.10.3.177,  120409,  FS-4000DN,  "XSH6Z00650"
200700891, FS4000, 10.6.10.151,  196688,  FS-4000DN,  "XSH7900681"
200700896, FS4000, 10.10.15.155,  87206,  FS-4000DN,  "XSH6600238"
200700911, FS3900, 10.10.15.150,  189231,  FS-3900DN,  "XSG6801933"
200700925, FS1118, 10.10.15.167,  78019,  FS-1118MFP,  "XSD8204075"
200700929, FS3900, 10.12.3.151,  198317,  FS-3900DN,  "XSG6801703"
200700931, FS4000, 10.7.6.150,  241964,  FS-4000DN,  "XSH6Y00613"
200700934, FS3800, 10.10.15.156,  107755,  FS-3800,  "ASZ4303735"
200700959, FS4000, 10.28.16.156,  2115,  FS-3920DN,  "XSZ1605128"
200700973, C5030N, 10.19.2.150,  160341,  FS-C5350DN,  "QVR9900049"
200701008, FS4000, 10.19.2.160,  129570,  FS-4000DN,  "XSH6Z00656"
200701009, FS4000, 10.19.2.156,  47498,  FS-3920DN,  "XSZ1905799"
200701014, FS1920, 10.10.16.153,  174194,  FS-1920,  "AZU5405773"
200701031, FS1118, 10.10.9.153,  105301,  FS-1118MFP,  "XSD5Y01388"
200701049, FS1030, 10.10.9.154,  56186,  FS-1030D,  "XSE5Y01509"
200701065, FS1118, 10.10.9.158,  82127,  FS-1118MFP,  "XSD6Z02714"
200701066, FS4000, 10.10.9.151,  282749,  FS-4000DN,  "XSH7Z00949"
200701076, FS4000, 10.10.3.152,  426407,  FS-4000DN,  "XSH6Z00653"
200701080, FS1920, 10.12.3.152,  119212,  FS-1920,  "AZU5Z09119"
200701091, FS1920, 10.10.3.182,  102552,  FS-1920,  "AZU5X07738"
200701127, FS9520, 10.10.3.167,  1012198,  FS-9520DN,  "PZA4X00541"
200701138, FS4000, 10.12.3.166,  84904,  FS-4000DN,  "XSH7X00800"
200701167, FS4000, 10.12.3.164,  174088,  FS-4000DN,  "XSH6Y00555"
200701218, FS3830, 10.32.1.150,  13417,  FS-3830N,  "AZV4Y03311"
200701294, FS-2000DN, 10.26.13.152,  76558,  FS-2000D,  "XSF7104621"
200701295, FS-1920#dep, 10.26.13.150,  69826,  FS-1920,  "AZU5606983"
200702001, FS3900, 10.23.1.150,  136574,  FS-3900DN,  "XSG6Y04022"
200702025, FS3900, 10.23.1.154,  162584,  FS-3900DN,  "XSG7704863"
200702033, FS3900, 10.23.1.155,  92282,  FS-3900DN,  "XLN7875898"
200702043, FS3900, 10.23.1.157,  108750,  FS-3900DN,  "XSG7704752"
