Printer Report [Wed Aug 29 11:18:55 EST 2012]
(~/src/pmon/pmon.sh)
c/- Michael Spence

Asset No, Assumed Model, IP Address, Reported Pages, Reported Model, Serial No.
200700004, FS2000, 10.25.7.155,  88776,  FS-2000D,  "XSF7305080"
200700008, FS4000, 10.25.7.154,  185862,  FS-4000DN,  "XSH6Y00623"
200700012, FS1118, 10.25.7.150, , , 
200700014, KM2550, 10.25.7.152,  71778,  KM-2550,  "AKA3062015"
200700014, KM2550, 10.25.7.153, , , 
200700015, FS4000, 10.25.7.151,  108661,  FS-4000DN,  "XSH6800431"
200700030, FS3900, 10.25.2.152,  218770,  FS-3900DN,  "XLN7874955"
200700031, FS4000, 10.25.2.155,  134494,  FS-4000DN,  "XSH6800322"
200700040, FS1118, 10.25.2.151,  331160,  FS-4000DN,  "XSH6Y00570"
200700048, FS4000, 10.25.2.151,  331160,  FS-4000DN,  "XSH6Y00570"
200700052, FS4000, 10.25.2.154,  81699,  FS-4000DN,  "XSH6Y00615"
200700081, C5016N, 10.25.4.154, , , 
200700112, FS4000, 10.18.2.154,  197762,  FS-4000DN,  "XSH6800373"
200700135, FS2000, 10.18.2.159,  16004,  FS-2000D,  "XSF6602148"
200700138, FS4000, 10.18.2.158,  129832,  FS-4000DN,  "XSH6Y00569"
200700146, FS3800, 10.18.2.156,  3440,  FS-3920DN,  "XSZ1404749"
200700148, C5016, 10.18.2.160, , , 
200700152, KM4035, 10.18.2.152,  1459,  FS-4000DN,  "XSH8901153"
200700170, KM-C2630, 10.36.4.152, , , 
200700205, FS1920, 10.36.4.156,  34799,  FS-1920,  "AZU5Y08313"
200700214, FS3900, 10.36.2.150,  96,  FS-3920DN,  "XSZ1705672"
200700219, FS1920, 10.36.4.150,  4292,  FS-3920DN,  "XSZ1905816"
200700223, FS4000, 10.36.2.158,  90447,  FS-4000DN,  "XSH6Z00635"
200700229, FS4000, 10.35.18.150,  109509,  FS-4000DN,  "XSH6600233"
200700230, FS4000, 10.35.18.151,  123925,  FS-4000DN,  "XSH6600240"
200700249, FS1900, 10.50.1.109,  200749,  FS-1920,  "AZU5Z09064"
200700268, FS3900, 10.50.1.113,  119688,  FS-3920DN,  "XSZ0402528"
200700276, FS3900, 10.50.1.113,  119688,  FS-3920DN,  "XSZ0402528"
200700293, FS1118, 10.50.1.107,  5921,  FS-1128MFP,  "QRE1603611"
200700293, FS1118, 10.50.1.108,  81697,  FS-1128MFP,  "QRE1603506"
200700330, FS2000, 10.52.1.105,  93185,  FS-2000D, enterprises.1347.43.5.1.1.28.1 = ""
200700338, FS1900, 10.50.1.109,  200749,  FS-1920,  "AZU5Z09064"
200700344, FS3830, 10.50.1.108,  81689,  FS-1128MFP,  "QRE1603506"
200700347, FS4000, 10.50.1.113,  119688,  FS-3920DN,  "XSZ0402528"
200700354, FS3830, 10.50.1.110,  148245,  FS-3830N,  "AZV5605123"
200700398, FS3900, 10.13.3.150,  118301,  FS-3900DN,  "XSG7404434"
200700399, FS3900, 10.13.3.151,  26291,  FS-3920DN,  "XSZ1905805"
200700417, KM-2550, 10.16.8.159,  5021,  FS-C8020MFP,  "Q6Z1700706"
200700434, 1020D, 10.5.4.157, , , 
200700439, KM-5050, 10.5.4.150,  407407,  KM-5050,  "PZE7900298"
200700445, FS2000, 10.5.4.156,  15000,  FS-3920DN,  "XSZ0Z04259"
200700450, FS1920, 10.5.4.155,  291709,  FS-1920,  "AZU5607370"
200700471, FS4000, 10.2.7.155,  3608,  FS-1135MFP,  "NR51X00169"
200700472, FS4000, 10.2.7.156,  143156,  FS-4000DN,  "XSH6Y00608"
200700487, FS4000, 10.2.7.152,  271842,  FS-4000DN,  "XSH6Y00567"
200700488, FS2000, 10.2.7.157,  129986,  FS-2000D,  "XSF7104633"
200700498, FS3900, 10.2.7.159,  85313,  FS-3900DN,  "XSG7X05626"
200700499, C5015N, 10.2.7.158,  29270,  FS-C5015N,  "ASP7901205"
200700565, FS3900, 10.34.2.165,  21014,  FS-3900DN,  "XSG7X05617"
200700566, FS3900, 10.34.2.164,  65840,  FS-3900DN,  "XSG7X05612"
200700573, FS3900, 10.34.2.163,  30194,  FS-3900DN,  "XSG6801842"
200700585, FS4000, 10.34.2.166,  153350,  FS-4000DN,  "XSH7900751"
200700595, FS3900, 10.34.4.166,  389488,  FS-3900DN,  "XSG6902735"
200700607, FS4000, 10.10.9.159,  271025,  FS-4000DN,  "XSH6600248"
200700624, FS4000, 10.33.4.152, , , 
200700628, FS2000, 10.33.4.162, , , 
200700631, FS1920, 10.33.4.154, , , 
200700641, FS4000, 10.34.4.175,  73463,  FS-4000DN,  "XSH6300033"
200700642, FS4000, 10.34.4.176,  398355,  FS-4000DN,  "XSH6600224"
200700661, FS1030, 10.10.7.153, , , 
200700663, FS4000, 10.10.7.154,  378096,  FS-4000DN,  "XSH8100955"
200700667, FS1020, 10.10.7.152,  71917,  FS-1020D,  "XZT5X09892"
200700678, FS3900, 10.17.11.153,  50675,  FS-3900DN, enterprises.1347.43.5.1.1.28.1 = ""
200700690, FS2000, 10.10.9.161,  78865,  FS-2000D,  "XSF6803090"
200700692, FS1920, 10.10.5.151,  12018,  FS-3920DN,  "XSZ1905803"
200700694, FS4000, 10.10.5.153,  42130,  FS-3920DN,  "XSZ1605047"
200700715, FS4000, 10.14.6.153,  227918,  FS-4000DN,  "XSH6800474"
200700735, C5015N, 10.16.10.156,  41294,  FS-1128MFP,  "QRE0401383"
200700739, FS3830, 10.16.8.151,  53816,  FS-3830N,  "AZV4Z03388"
200700748, FS4000, 10.16.10.158,  328558,  FS-4000DN,  "XSH6300076"
200700749, FS4000, 10.16.10.159,  160821,  FS-4000DN,  "XSH6600218"
200700759, FS4000, 10.16.12.152,  839693,  FS-4000DN,  "XSH6600213"
200700785, FS3830, 10.16.100.150,  195745,  FS-3830N,  "AZV5103882"
200700792, 4300n, 10.16.100.151,  47082,  FS-3920DN,  "XSZ0Z04103"
200700817, FS4000, 10.10.2.157,  132336,  FS-4000DN,  "XSH7900727"
200700831, FS3800, 10.10.3.161, , , 
200700839, FS9520, 10.16.2.152, , , 
200700844, FS1920, 10.10.3.160,  82323,  FS-1920,  "AZU4100174"
200700848, FS3830, 10.10.2.160,  188949,  FS-3830N,  "AZV4200097"
200700852, FS4000, 10.10.16.161,  165973,  FS-4000DN,  "XSH6900521"
200700863, FS4000, 10.10.2.153,  11047,  FS-4000DN,  "XSH7900707"
200700864, FS4000, 10.10.2.153,  11047,  FS-4000DN,  "XSH7900707"
200700865, FS9100, 10.10.3.171,  8323,  TASKalfa 3050ci,  "N2R2501064"
200700866, FS4000, 10.10.3.177,  119152,  FS-4000DN,  "XSH6Z00650"
200700891, FS4000, 10.16.17.150, , , 
200700896, FS4000, 10.10.15.155,  84545,  FS-4000DN,  "XSH6600238"
200700904, FS4000, 10.10.15.154,  180503,  FS-4000DN,  "XSH6Y00594"
200700911, FS3900, 10.10.15.150,  181572,  FS-3900DN,  "XSG6801933"
200700925, FS1118, 10.10.15.153, , , 
200700929, FS3900, 10.12.3.151,  193614,  FS-3900DN,  "XSG6801703"
200700931, FS4000, 10.7.6.150,  232210,  FS-4000DN,  "XSH6Y00613"
200700934, FS3800, 10.10.15.156,  105313,  FS-3800,  "ASZ4303735"
200700953, FS3830, 10.28.16.152, , , 
200700959, FS4000, 10.28.16.156,  54676,  FS-4000DN,  "XSH6Z00647"
200700968, FS3830, 10.28.16.153,  182630,  FS-3830N,  "AZV4301396"
200700973, C5030N, 10.19.2.150,  147009,  FS-C5350DN,  "QVR9900049"
200700974, FS4000, 10.19.2.157,  467607,  FS-4000DN,  "XSH6800380"
200700975, FS3830, 10.19.15.150,  299378,  FS-3830N,  "AZV5404387"
200700997, FS1920, 10.19.2.153,  109350,  FS-1920,  "AZU5405912"
200701003, FS4000, 10.19.2.151,  153104,  FS-3920DN,  "XSZ1304712"
200701004, FS9520, 10.19.2.152,  353023,  FS-4020DN,  "XMT0Y00812"
200701008, FS4000, 10.19.2.160,  124016,  FS-4000DN,  "XSH6Z00656"
200701009, FS4000, 10.19.2.156,  34667,  FS-3920DN,  "XSZ1905799"
200701011, FS4000, 10.10.16.151,  532476,  FS-4000DN,  "XSH6Y00625"
200701014, FS1920, 10.10.16.153,  171435,  FS-1920,  "AZU5405773"
200701017, FS1800+, 10.10.16.150,  51273,  FS-3920DN,  "XSZ9901417"
200701030, FS4000, 10.10.9.152,  473142,  FS-4000DN,  "XSH7Z00927"
200701031, FS1118, 10.10.9.153,  101856,  FS-1118MFP,  "XSD5Y01388"
200701048, FS2000, 10.10.9.157,  104316,  FS-2000D,  "XSF6702660"
200701049, FS1030, 10.10.9.154,  55370,  FS-1030D,  "XSE5Y01509"
200701065, FS1118, 10.10.9.158,  79655,  FS-1118MFP,  "XSD6Z02714"
200701066, FS4000, 10.10.9.151,  273835,  FS-4000DN,  "XSH7Z00949"
200701068, FS3830, 10.10.9.159,  271025,  FS-4000DN,  "XSH6600248"
200701076, FS4000, 10.10.3.152,  415605,  FS-4000DN,  "XSH6Z00653"
200701077, FS3800, 10.10.3.149,  558602,  FS-3800,  "ASZ3X02743"
200701078, FS3830, 10.12.3.153,  134730,  FS-3920DN,  "XSZ0102080"
200701080, FS1920, 10.12.3.152,  116014,  FS-1920,  "AZU5Z09119"
200701091, FS1920, 10.10.3.182,  102294,  FS-1920,  "AZU5X07738"
200701099, FS3900, 10.10.7.150,  247932,  FS-3900DN,  "XLN7876522"
200701104, FS3900, 10.10.7.164,  240758,  FS-3900DN,  "XSG6902257"
200701110, FS3800, 10.17.11.161,  5150,  FS-3920DN,  "XSZ1605033"
200701124, FS4000, 10.10.3.159,  747450,  FS-4000DN,  "XSH6X00552"
200701127, FS9520, 10.10.3.167,  986082,  FS-9520DN,  "PZA4X00541"
200701128, FS9520, 10.17.11.161,  5150,  FS-3920DN,  "XSZ1605033"
200701138, FS4000, 10.12.3.166,  83736,  FS-4000DN,  "XSH7X00800"
200701140, FS1118, 10.10.3.151, , , 
200701150, FS1118, 10.12.3.170,  84821,  FS-1118MFP,  "XSD8103937"
200701167, FS4000, 10.12.3.164,  170651,  FS-4000DN,  "XSH6Y00555"
200701218, FS3830, 10.32.1.150,  13416,  FS-3830N,  "AZV4Y03311"
200701247, FS3900, 10.24.1.150,  60385,  FS-3900DN,  "XSG7X05636"
200701294, FS-2000DN, 10.26.13.152,  74388,  FS-2000D,  "XSF7104621"
200701295, FS-1920#dep, 10.26.13.150,  68153,  FS-1920,  "AZU5606983"
200702001, FS3900, 10.23.1.150,  130570,  FS-3900DN,  "XSG6Y04022"
200702006, FS3900, 10.23.1.151,  139411,  FS-3900DN,  "XSG7604470"
200702025, FS3900, 10.23.1.154,  156049,  FS-3900DN,  "XSG7704863"
200702033, FS3900, 10.23.1.155,  90116,  FS-3900DN,  "XLN7875898"
200702043, FS3900, 10.23.1.157,  106352,  FS-3900DN,  "XSG7704752"
200702044, FS3900, 10.23.1.158,  74389,  FS-3900DN,  "XSG7704847"
200702049, FS3900, 10.23.1.159,  164561,  FS-3900DN,  "XLN7977712"
200702050, FS3900, 10.23.1.160,  117426,  FS-3900DN,  "XSG7Y05834"
200702051, FS3900, 10.23.1.161,  60711,  FS-3900DN,  "XSG7905518"
200702052, FS3900, 10.23.1.162,  42671,  FS-3900DN,  "XSG7905513"
200702053, Generic#Printer, 10.23.1.170,  168139,  TASKalfa 400ci,  "QHZ0100263"
200702054, Generic#Printer, 10.23.1.171,  55994,  TASKalfa 221,  "QPB9900144"
200702054, Generic#Printer, 10.23.1.172, , , 
200702055, Generic#Printer, 10.23.1.173,  39855,  TASKalfa 221,  "QPB9900151"
200702055, Generic#Printer, 10.23.1.174, , , 
200800021, FS4000DN, 10.18.2.154,  197762,  FS-4000DN,  "XSH6800373"
200800022, FS4000DN, 10.18.2.156,  3440,  FS-3920DN,  "XSZ1404749"
200800042, FS4000, 10.50.1.117,  114019,  FS-4000DN,  "XSH7Z00906"
200800044, FS4000, 10.52.1.107,  66102,  FS-4000DN,  "XSH7Z00930"
200800045, FS4000, 10.51.1.103,  144653,  FS-4000DN,  "XSH7Z00892"
200800104, FS4000, 10.5.4.160,  131152,  FS-4000DN,  "XSH8101001"
200800109, FS4000, 10.5.4.152, , , 
200800114, FS4000, 10.5.4.159,  152557,  FS-4000DN,  "XSH8101008"
200800115, FS1118, 10.5.4.?, , , 
200800118, FS4000, 10.5.4.158,  173737,  FS-4000DN,  "XSH7900689"
200800204, FS4000, 10.10.2.158,  185361,  FS-4000DN,  "XSH7Z00940"
200800277, FS4000, 10.10.16.152,  50685,  FS-4000DN,  "XSH6Y00622"
200800298, FS4000, 10.12.3.176,  47517,  FS-4000DN,  "XSH7Y00825"
200800299, FS4000, 10.34.4.157,  368518,  FS-4000DN,  "XSH7900703"
200800320, FS4000, 10.36.4.150,  4292,  FS-3920DN,  "XSZ1905816"
200800330, FS-4000DN, 10.10.3.178,  12036,  FS-4000DN,  "XSH8701077"
200800355, FS-4000DN, 10.10.3.170,  260929,  FS-4000DN,  "XSH8901188"
200800356, FS-1118MFPF, 10.10.16.154,  32205,  FS-1118MFP,  "XSD8X04635"
200800392, FS-3900DN, 10.17.11.154,  193070,  FS-3900DN,  "XSG8906980"
200800438, FS-1118MFPF, 10.17.11.157,  25560,  FS-1118MFP,  "XSD9405076"
200800527, FS4000DN, 10.10.2.151,  142335,  FS-4000DN,  "XSH8601025"
200800556, FS4000, 10.10.2.150,  174812,  FS-4000DN,  "XSH8601011"
200800604, FS-1128MFP, 10.10.9.171,  109539,  FS-1128MFP,  "QRE9700057"
200800605, FS-1128MFP, 10.10.9.170,  27320,  FS-1128MFP,  "QRE9700053"
200800632, FS-C5400DN, 10.36.4.166,  137660,  FS-C5400DN,  "XMW9600050"
200800634, FS-1128MFP, 10.10.7.159,  11669,  FS-1128MFP,  "QRE9700041"
200800645, FS-1118MFP, 10.7.6.160,  13038,  FS-1118MFP,  "XSD9405078"
200800655, FS-3920DN, 10.35.18.153,  35544,  FS-3920DN,  "XSZ9901333"
200800678, FS-1128MFP, 10.10.5.156,  87321,  FS-1128MFP,  "QRE9Y00467"
200800680, FS-3920DN, 10.10.16.150,  51273,  FS-3920DN,  "XSZ9901417"
200800715, FS-1128MFP, 10.23.1.175,  10624,  FS-1128MFP,  "QRE9Z00525"
200800767, FS-3920DN, 10.23.1.163,  79402,  FS-3920DN,  "XSZ9Z01913"
200800768, FS-3920DN, 10.23.1.165,  31550,  FS-3920DN,  "XSZ9X01620"
200800769, FS-3920DN, 10.23.1.164,  3011,  FS-3920DN,  "XSZ9X01635"
200800821, FS-3920DN, 10.12.3.153,  134730,  FS-3920DN,  "XSZ0102080"
200800845, FS-1128MFP, 10.28.16.155,  6629,  FS-1128MFP,  "QRE0301219"
200800864, FS-3920DN, 10.50.1.112,  46979,  FS-3920DN,  "XSZ0202312"
200800865, FS-3920DN, 10.17.11.160,  1913,  FS-3920DN,  "XSZ0102134"
200800869, FS-3920DN, 10.36.4.155,  225424,  FS-3920DN,  "XSZ0202317"
200800870, FS-3920DN, 10.27.1.151,  12488,  FS-3920DN,  "XSZ0102104"
200800881, FS-1128MFP, 10.6.17.151,  25518,  FS-1128MFP,  "QRE0301131"
200800882, FS-1128MFP, 10.34.99.151,  44086,  FS-1128MFP,  "QRE0200775"
200800962, FS-1128MFP, 10.16.10.156,  41294,  FS-1128MFP,  "QRE0401383"
200800973, FS-1128MFP, 10.10.16.155,  41034,  FS-1128MFP,  "QRE0401385"
200800985, FS-3920DN, 10.50.1.113,  119688,  FS-3920DN,  "XSZ0402528"
200800986, FS-3920DN, 10.52.1.126,  48514,  FS-3920DN,  "XSZ0502695"
201000116, FS-3920DN, 10.50.1.102,  35866,  FS-3920DN,  "XSZ0703054"
20100023, FS-3920DN, 10.10.2.156,  21524,  FS-3920DN,  "XSZ0502703"
20100024, FS-3920DN, 10.17.11.152,  35989,  FS-3920DN,  "XSZ0502716"
20100029, FS-3920DN, 10.2.7.154,  129368,  FS-3920DN,  "XSZ0502705"
20100030, FS-3920DN, 10.10.2.152,  114703,  FS-3920DN,  "XSZ0502747"
20100079, FS-3920DN, 10.12.3.156,  64621,  FS-3920DN,  "XSZ0502768"
20100094, FS-1370DN, 10.2.7.165,  878,  FS-1370DN,  "Q670600627"
20100116, FS-3920DN, 10.50.1.102,  35866,  FS-3920DN,  "XSZ0703054"
20100117, FS-3920DN, 10.50.1.113,  119688,  FS-3920DN,  "XSZ0402528"
20100128, FSC-5350DN, 10.16.10.157, , , 
20100150, FS-3920, 10.10.7.161,  25469,  FS-3920DN,  "XSZ0703081"
20100151, FS-3920DN, 10.25.2.153,  1627,  FS-3920DN,  "XSZ0703069"
20100153, FS-1128MFP, 10.12.3.172,  20621,  FS-1128MFP,  "QRE0701734"
20100204, FS-5350DN, 10.18.2.170,  26788,  FS-C5350DN,  "QVR0900169"
20100232, FS-3920DN, 10.12.3.170,  84821,  FS-1118MFP,  "XSD8103937"
20100233, FS-3920DN, 10.50.1.101,  45797,  FS-3920DN,  "XSZ0803339"
20100235, FS-1128MFP, 10.18.2.163,  12247,  FS-1128MFP,  "QRE0801911"
20100272, FS-1128MFP, 10.18.2.177,  9383,  FS-1128MFP,  "QRE0801910"
20100303, FS-1128MFP, 10.33.4.160, , , 
20100307, FS-1128MFP, 10.33.4.161, , , 
20100308, FS-1128MFP, 10.5.4.165,  41181,  FS-1128MFP,  "QRE0902238"
20100321, FS-4020DN, 10.19.2.152,  353023,  FS-4020DN,  "XMT0Y00812"
20110042, FS-1128MFP, 10.34.4.160,  49065,  FS-1128MFP,  "QRE0Z02649"
20110043, FS-1128MFP, 10.34.4.159,  38938,  FS-1128MFP,  "QRE0Z02519"
20110045, FS-3920DN, 10.16.8.150,  5648,  FS-3920DN,  "XSZ0Y03859"
20110046, FS-3920DN, 10.5.4.156,  15000,  FS-3920DN,  "XSZ0Z04259"
20110047, FS-3920DN, USB, , , 
20110048, FS-3920DN, 10.10.9.164,  6941,  FS-3920DN,  "XSZ0Z04252"
20110049, FS-3920DN, 10.19.2.154,  43585,  FS-3920DN,  "XSZ0Z04247"
20110050, FS-3920DN, 10.34.4.169, , , 
20110054, FS-1128MFP, 10.16.10.160,  14108,  FS-3920DN,  "XSZ0Z04254"
