id,s_serialno,s_interog8,s_devicetype,s_location
20120068,XSZ1905866,NULL,Printer,Adtrans Used Trucks Pinkenba
20120098,B102313/008,NULL,PC,Adtrans Used Trucks Pinkenba
20120008,B102091/004,NULL,PC,Adtrans Used Trucks Pinkenba
20130262,B105006/005,NULL,PC,Adtrans Used Trucks Pinkenba
200700232,CNV73807F4,NULL,Thin Client,AUS Bokarina
20100238,8A063023H,2013-03-01,Notebook,AUS Curraminidi
200800981,B097160/007,NULL,PC,AUS Curraminidi
20100246,B098499/001,NULL,PC,AUS Curraminidi
20100140,B097858/002,NULL,PC,AUS Curraminidi
20100306,XSZ0X03708,NULL,Printer,AUS Curraminidi
20110121,B099307/003,NULL,PC,Austral Honda Newstead
20130238,NUL3300750,NULL,Printer,Austral Honda Newstead
200800175,0802-B088935/002,NULL,PC,Austral Honda Newstead
200800503,6168E600272,NULL,Thin Client,Austral Honda Newstead
20120113,B102508/003,NULL,Zbox,Austral Honda Newstead
20110106,JATF005471,NULL,Printer,Austral Honda Newstead
20100203,QVR0900163,NULL,Printer,Austral Honda Newstead
200800467,B093900/005,NULL,PC,Austral Honda Newstead
200800975,B097160/002,NULL,PC,Austral Motors Newstead
200701105,616BEC04422,NULL,Thin Client,Austral Motors Newstead
200701101,0707-B086446/001,NULL,PC,Austral Motors Newstead
200701106,616BEC04619,NULL,Thin Client,Austral Motors Newstead
20100128,K1C9X01782,NULL,Printer,Austral PAG Fortitude Valley
20110282,B100193/013,NULL,PC,Austral PAG Fortitude Valley
200800835,B096287/001,NULL,PC,Austral PAG Fortitude Valley
20100169,B098034/009,NULL,PC,Austral PAG Fortitude Valley
20110002,Q670X01623,NULL,Printer,Austral PAG Fortitude Valley
200800856,B096489/005,NULL,PC,Austral PAG Fortitude Valley
200800927,B097291/004,NULL,PC,Austral PAG Fortitude Valley
200700764,9Q18D900031,NULL,Thin Client,Austral PAG Fortitude Valley
200700801,9Q18D600430,NULL,Thin Client,Austral PAG Fortitude Valley
200800977,B097160/004,NULL,PC,Austral PAG Fortitude Valley
200800723,B095941/003,NULL,PC,Austral PAG Fortitude Valley
20110334,B100373/006,NULL,PC,Austral PAG Fortitude Valley
20130227,3BTSA57716,NULL,Notebook,Austral PAG Fortitude Valley
20120290,4C056875H,NULL,Notebook,Austral PAG Fortitude Valley
20110001,Q670701114,NULL,Printer,Austral PAG Fortitude Valley
200800855,B096489/004,NULL,PC,Austral PAG Fortitude Valley
200700750,9Q18D600425,NULL,Thin Client,Austral PAG Fortitude Valley
200700772,0707-B086445/002,NULL,PC,Austral PAG Fortitude Valley
200700802,9Q18D600426,NULL,Thin Client,Austral PAG Fortitude Valley
20110485,B101299/011,2013-06-07,PC,Austral PAG Fortitude Valley
200800649,B095104/004,NULL,PC,Austral VW Newstead
20110336,B100373/008,NULL,PC,Austral VW Newstead
200700720,9Q11BC00756,NULL,Thin Client,Austral VW Newstead
20110441,B101026/011,NULL,PC,Austral VW Newstead
20100104,B097621/010,NULL,PC,Austral VW Newstead
200800608,B094507/003,NULL,PC,Austral VW Newstead
200701040,0702-B084296/003,NULL,PC,Austral VW Newstead
200800727,B095941/007,NULL,PC,Austral VW Newstead
20110579,B101786/010,NULL,PC,Austral VW Newstead
200800836,B096287/002,NULL,PC,Austral VW Newstead
200800853,B096489/002,NULL,PC,Austral VW Newstead
20110103,JATF005391,NULL,Printer,Austral VW Newstead
200800183,0806-B090068/001,NULL,PC,Austral VW Newstead
20100110,5A111740H,2013-05-10,Notebook,Austral VW Newstead
20110508,XSZ1605370,NULL,Printer,Austral VW Newstead
20110105,JATF005472,NULL,Printer,Austral VW Newstead
200800726,B095941/006,NULL,PC,BMA Pinkenba
20110573,B101786/004,2013-02-22,PC,BMA Pinkenba
20120456,B103766/007,NULL,Zbox,BMA Pinkenba
20100060,B097468/006,NULL,PC,BMA Pinkenba
20100275,Q670600241,NULL,Printer,BMA Pinkenba
200701197,0606-B081022/002,NULL,PC,BMA Pinkenba
200800668,B095289/009,NULL,PC,BMA Pinkenba
20110373,Q671503611,NULL,Printer,BMA Pinkenba
20100244,7A062436H,NULL,Notebook,BMA Pinkenba
200800898,2A134150H,NULL,Notebook,BMA Pinkenba
20110297,XSZ1304709,NULL,Printer,BMA Pinkenba
20110346,B100373/018,2013-01-23,PC,BMA Pinkenba
20120035,B102207/001,NULL,PC,BMA Pinkenba
200800664,B095289/005,NULL,PC,BMA Pinkenba
20100274,Q670600308,NULL,Printer,BMA Pinkenba
200701189,0606-B081022/012,NULL,PC,BMA Pinkenba
20100148,B097858/010,NULL,PC,BMA Pinkenba
200701204,0606-B080943/004,NULL,PC,BMA Pinkenba
20110374,Q671503603,NULL,Printer,BMA Pinkenba
20100126,B097849/006,NULL,PC,Bridge Toyota Darwin
20120126,CNW1400VQG,NULL,Thin Client,Bridge Toyota Darwin
20120128,CNW1400VQB,NULL,Thin Client,Bridge Toyota Darwin
200700357,0706-B085731/001,NULL,PC,Bridge Toyota Darwin
20100256,CNW04209MN,NULL,Thin Client,Bridge Toyota Darwin
200800779,B096079/005,NULL,PC,Bridge Toyota Darwin
20120482,CNW24203T3,NULL,Thin Client,Bridge Toyota Darwin
20120267,CNW22505FZ,NULL,Thin Client,Bridge Toyota Darwin
20120484,CNW24203T0,NULL,Thin Client,Bridge Toyota Darwin
200800369,CNV8420907,NULL,Thin Client,Bridge Toyota Darwin
20120650,CNW24203T4,NULL,Thin Client,Bridge Toyota Darwin
20100777,,NULL,Zbox,Bridge Toyota Darwin
200800776,B096079/002,NULL,PC,Bridge Toyota Darwin
200800067,CNV947ONGN,NULL,Thin Client,Bridge Toyota Darwin
200800444,CNV916091F,NULL,Thin Client,Bridge Toyota Darwin
20110501,B101460/001,NULL,PC,Bridge Toyota Darwin
20100122,B097849/002,NULL,PC,Bridge Toyota Darwin
20100125,B097849/005,NULL,PC,Bridge Toyota Darwin
20100127,B097849/007,NULL,PC,Bridge Toyota Darwin
20120127,CNW1400VR4,NULL,Thin Client,Bridge Toyota Darwin
200700375,0707-B086470/018,NULL,PC,Bridge Toyota Darwin
20100259,CNW04209MD,NULL,Thin Client,Bridge Toyota Darwin
200800780,B096079/006,NULL,PC,Bridge Toyota Darwin
20120266,B103297/002,2013-05-17,PC,Bridge Toyota Darwin
200800760,1A110158H,2013-05-02,Notebook,Bridge Toyota Darwin
20130122,YC101561H,2013-06-06,Notebook,Bridge Toyota Darwin
200800777,B096079/003,NULL,PC,Bridge Toyota Darwin
20110430,B101028/002,NULL,PC,Bridge Toyota Darwin
20100123,B097849/003,NULL,PC,Bridge Toyota Darwin
200700314,0608-B081984/005,NULL,PC,Bridge Toyota Palmerston
20120483,CNW24203T5,NULL,Thin Client,Bridge Toyota Palmerston
20120268,CNW22505FX,NULL,Thin Client,Bridge Toyota Palmerston
200800885,CNVA1803QN,NULL,Thin Client,Caloundra City Great Wall
200800688,B095700/005,NULL,PC,Caloundra City Great Wall
20100042,B097386/005,NULL,PC,Caloundra City Holden
200800812,B096091/008,NULL,PC,Caloundra City Holden
200800787,B096208/001,NULL,PC,Caloundra City Holden
200800769,XSZ9Z01635,NULL,Printer,Caloundra City Holden
200800789,B096208/003,NULL,PC,Caloundra City Holden
200800794,B096208/008,NULL,PC,Caloundra City Holden
200800796,B096208/010,NULL,PC,Caloundra City Holden
200800923,G102114000810,NULL,PC,Caloundra City Holden
200800862,B096489/011,NULL,PC,Caloundra City Holden
200702052,200702052,NULL,Printer,Caloundra City Holden
200702054,200702054,NULL,Printer,Caloundra City Holden
200800879,B096661/010,NULL,PC,Caloundra City Holden
200800708,CNV9470NFX,NULL,Thin Client,Caloundra City Holden
20100041,B097386/004,NULL,PC,Caloundra City Holden
200800806,B096091/002,NULL,PC,Caloundra City Holden
20100046,B097386/009,NULL,PC,Caloundra City Holden
200800813,B096091/009,NULL,PC,Caloundra City Holden
200800900,B096884/001,NULL,PC,Caloundra City Holden
200800793,B096208/007,NULL,PC,Caloundra City Holden
200800795,B096208/009,NULL,PC,Caloundra City Holden
200702029,200702029,NULL,PC,Caloundra City Holden
200702053,200702053,NULL,Printer,Caloundra City Holden
200800969,2A134405H,2013-01-29,Notebook,Caloundra City Holden
200800807,B096091/003,NULL,PC,Caloundra City Honda
20100139,B097858/001,NULL,PC,Caloundra City Honda
200800432,CNV91305FW,NULL,Thin Client,Caloundra City Honda
200800873,B096661/004,NULL,PC,Caloundra City Honda
200800974,B097160/001,NULL,PC,Caloundra City Honda
20100143,B097858/005,NULL,PC,Caloundra City Mitsubishi
200702055,200702055,NULL,Printer,Caloundra City Mitsubishi
200800877,B096661/008,NULL,PC,Caloundra City Mitsubishi
20120001,G114419107485,NULL,Zbox,Carzoos BDC Wgabba
20110325,5B090679H,NULL,Notebook,Carzoos BDC Wgabba
20130202,B104893/002,NULL,Zbox,Carzoos BDC Wgabba
20120044,B102243/008,NULL,Zbox,Carzoos BDC Wgabba
20120059,8B114377H,NULL,Notebook,Carzoos BDC Wgabba
20120115,B102508/005,NULL,Zbox,Carzoos BDC Wgabba
20120118,B102508/008,NULL,Zbox,Carzoos BDC Wgabba
20130252,B104905/002,NULL,Zbox,Carzoos BDC Wgabba
20120039,B102243/003,NULL,Zbox,Carzoos BDC Wgabba
20120043,B102243/007,NULL,Zbox,Carzoos BDC Wgabba
20120112,B102508/002,NULL,Zbox,Carzoos BDC Wgabba
20120511,ABCS25814,NULL,Printer,Corporate Internal Audit
200800611,B094507/006,NULL,PC,Corporate Office Fortitude Valley
20100049,4A139777H,NULL,Notebook,Corporate Office Fortitude Valley
20120512,C02H61RYDV7N,NULL,Notebook,Corporate Office Fortitude Valley
20110474,B101341/001,NULL,PC,Corporate Office Fortitude Valley
200800359,B092035/001,NULL,PC,Corporate Office Fortitude Valley
20110375,Q671503607,NULL,Printer,Corporate Payroll
20120063,7B154937H,2013-05-10,Notebook,Corporate Payroll
20100004,B097291/007,NULL,PC,Corporate Payroll
200800691,B095700/008,NULL,PC,Corporate QLD/NT Division
200701095,CNV7070066,NULL,Thin Client,Eagers Holden Newstead
200800317,0808-B090787/001,NULL,PC,Eagers Holden Newstead
200701117,0704-B084977/001,NULL,PC,Eagers Holden Newstead
200701181,9Q11BC00303,NULL,Thin Client,Eagers Holden Newstead
20100064,B097468/010,NULL,PC,Eagers Holden Newstead
20100161,B098034/001,NULL,PC,Eagers Holden Newstead
200800811,B096091/007,NULL,PC,Eagers Holden Newstead
200701089,0801-B088339/001,NULL,PC,Eagers Holden Newstead
20100144,B097858/006,NULL,PC,Eagers Holden Newstead
20100075,5A111742H,2013-03-20,Notebook,Eagers Holden Newstead
200700682,L3-ATBH1 06/02,NULL,Notebook,Eagers Holden Newstead
200800951,B096848/001,NULL,PC,Eagers Holden Newstead
200800896,2A134393H,NULL,Notebook,Eagers Holden Townsville
20110404,08C09110327,NULL,Printer,Eagers Holden Townsville
200800122,0802-B088961/001,NULL,PC,Eagers Holden Townsville
20100038,B097386/001,NULL,PC,Eagers Holden Townsville
200800978,B097160/005,NULL,PC,Eagers Holden Windsor
200800358,78061396H,2013-05-09,Notebook,Eagers Holden Windsor
200800662,B095289/003,NULL,PC,Eagers Holden Windsor
20120036,B102207/002,NULL,PC,Eagers Holden Windsor
20100007,B097291/010,NULL,PC,Eagers Holden Windsor
20110101,JATF002863,NULL,Printer,Eagers Holden Windsor
200700901,436672-001,NULL,Thin Client,Eagers Holden Windsor
200700946,9Q11BC00388,NULL,Thin Client,Eagers Holden Windsor
200800643,B095026/002,NULL,PC,Eagers Holden Windsor
20100319,7A063715H,2013-06-22,Notebook,Eagers Holden Windsor
20100099,B097621/005,NULL,PC,Eagers Holden Windsor
20100103,B097621/009,NULL,PC,Eagers Holden Windsor
20100006,B097291/009,NULL,PC,Eagers Holden Windsor
20120451,B103766/002,NULL,Zbox,Eagers Kia Kedron
20130128,NR52901142,NULL,Printer,Eagers Kia Kedron
20120384,XSZ2608003,NULL,Printer,Eagers Kia Kedron
200800718,79020719H,NULL,Notebook,Eagers Kia Kedron
200800889,JATF002783,NULL,Printer,Eagers Kia Kedron
200800613,B094507/008,NULL,PC,Eagers Kia Kedron
200800982,B097160/008,NULL,PC,Eagers Kia Kedron
20100163,B098034/003,NULL,PC,Eagers Kia Kedron
200700580,9Q18E100332,NULL,Thin Client,Eagers Kia Kedron
200800721,B095941/001,NULL,PC,Eagers Kia Service Kedron
20100058,B097468/004,NULL,PC,Eagers Kia Service Kedron
20100062,B097468/008,NULL,PC,Eagers Kia Service Kedron
200800666,B095289/007,NULL,PC,Eagers Kia Service Kedron
20120422,CNW2361805,NULL,Thin Client,Eagers Kia Service Kedron
200800645,XSD9405078,NULL,Printer,Eagers Kia Service Kedron
20120423,CNW2361806,NULL,Thin Client,Eagers Mazda Newstead
20100080,XSZ0502766,NULL,Printer,Eagers Mazda Newstead
200800685,B095700/002,NULL,PC,Eagers Mazda Newstead
20100003,B097291/006,NULL,PC,Eagers Mazda Newstead
20110534,8B107483H,NULL,Notebook,Eagers Mazda Newstead
200800337,JATG005957,NULL,Printer,Eagers Mazda Newstead
200800772,B096325/003,NULL,PC,Eagers Mazda Newstead
200800425,B092979/015,NULL,PC,Eagers Mazda Newstead
20120374,XSZ2608011,NULL,Printer,Eagers Mazda Newstead
200800872,B096661/003,NULL,PC,Eagers Mazda Newstead
200800607,B094507/002,NULL,PC,Eagers Mazda Newstead
200800642,B095026/001,NULL,PC,Eagers Mitsubishi Newstead
200800644,B095026/003,NULL,PC,Eagers Mitsubishi Newstead
20120201,B102945/002,2013-01-09,PC,Eagers Mitsubishi Newstead
20120288,4C056594H,2013-03-11,Notebook,Eagers Mitsubishi Newstead
20120371,XSZ2608001,NULL,Printer,Eagers Mitsubishi Newstead
200800979,B097160/006,NULL,PC,Eagers Mitsubishi Newstead
20100252,B098499/007,2013-04-02,PC,Eagers Mitsubishi Newstead
20100057,B097468/003,NULL,PC,Eagers Mitsubishi Newstead
200800670,79043605H,2013-06-20,Notebook,Eagers Mitsubishi Newstead
200800048,0805-B090055/001,NULL,PC,Eagers Mitsubishi Newstead
20100170,B098034/010,NULL,PC,Eagers Mitsubishi Newstead
200800137,0803-B089241/001,NULL,PC,Eagers Mitsubishi Newstead
200800953,B096848/003,NULL,PC,Eagers Mitsubishi Newstead
20110058,B099091/005,NULL,PC,Eagers Mitsubishi Newstead
200800771,B096325/002,NULL,PC,Gympie Road Wholesale Cars
