i_asset,upper(s_description)
20100001,MFVADMF
20100003,EMZSVC2
20100004,CORPPAY9
20100006,EMNSMGR1
20100007,EWNSVC8
20100008,MFVSHOF
20100038,ETOPTS7
20100040,TTBSHO9
20100041,CCHSCV7
20100042,CCAADM7
20100043,TFSSHO2
20100044,MFNSVC7
20100046,CCHSVC6
20100048,CCHSVC8
20100049,APCORP19
20100053,AUVMOB1
20100055,SMTSVCA
20100056,TTBSVCD
20100058,EKESVC3
20100059,AUPSVC9
20100060,BMASIM1
20100061,SSHSVCE
20100062,EKESVC1
20100063,SSTPTS
20100064,HONVPN
20100075,ENSIDS100075
20100084,AP100084
20100088,MTPPTSY
20100092,MTPPTSZ
20100096,TFNSVC100096
20100097,THNCAM1
20100098,TFNUSD2
20100099,EWNSVCG
20100100,TFSSHO3
20100103,EWNSVC1
20100104,AUWSVCR
20100105,MFVSCPT1
20100110,AUWWTY100110
20100122,BTDPD20100122
20100123,BTDSRV100123
20100125,BTDPARTS100125
20100126,BTDSVCF4
20100127,BTDSRV100127
20100136,TTBSVCE
20100139,CCHSVCA
20100140,AUSPTS2
20100141,TTBFIN1
20100142,EPDSVCD
20100143,CCMSHO6
20100144,ENSPTSO
20100145,THNSHOZ
20100146,SSTSHO4
20100147,SSTSTK2
20100148,BMA043
20100161,ENSPTST
20100163,EKESHOK
20100164,SSTPTS8
20100166,MTPPTSX
20100169,AUVSHO4
20100170,ENSADMY
20100188,MFNTRN4
20100189,TFNTRN1
20100190,TTBFLT100190
20100192,TFNTRN2
20100193,SSFTRN3
20100194,SSFTRN1
20100195,SSFTRN4
20100196,SSFTRN2
20100197,MFNTRN3
20100198,MFNTRN1
20100198,MFNTRAINING1
20100199,MFNTRN2
20100208,AUPFIN2
20100221,THNTRN1
20100238,AUSSHOE
20100244,BMA039
20100246,AUSSHOB
20100252,EKESHOB
20100252,LAUREN LUCAS
20100256,BTDPARTS5
20100262,GENERIC HP GREEN SCREEN SESSION
20100263,MTPPTSIDS
20100265,MRTPTS3
20100310,MFNSHO5
20110001,MAURLIN SLAVE PRINTER
20110003,KYOCERA 1920DN - USB ATTACHED
20110040,AUMCUST
20110058,EMISHO5
20110079,AUPSHO5
20110088,AURSHO6
20110121,AUHSHOK
20110163,APWSHO1
20110181,MTPPTSX
20110195,TFNLMV
20110282,AURBNCH
20110297,SLAVE TO PC
20110319,SSTSHOM
20110325,APCORP4
20110334,AUVPTS9
20110346,BMA093
20110347,SAFETY STOP PRINTER - NOT ON NETWORK
20110365,APCORPITP
20110386,TFSCAM  (SECURITY CAMERA)
20110404,ETOLBL
20110430,BTDUSDMGR
20110431,MTGSVC110431
20110437,SUCSVC6X
20110441,AUWWTY110441
20110474,APBOARD
20110485,AURSMGR
20110501,BTDNCMGR
20110508,NON NETWORKED PRINTER
20110529,ICBSVC110529
20110534,EMZSHOH
20110538,MFNMOB1
20110570,TFNWSVC3
20110573,BMA077
20110579,VW-PREDELIVERY
20120001,ZOO-BDC4
20120008,ADTTRK1
20120023,APCORPITR
20120024,TSBSHOB
20120034,AUPSVCA
